sample,model,comparison,grouping,group,n,RMSE_poorer,RMSE_richer,delta_RMSE,ci_low,ci_high,mean_dMSE,p_value,n_year_clusters
development 2015-2019,XGBoost,text given firm and survey,size,large,74428,0.35758706626685627,0.3572782554968321,-0.00030881077002409274,-0.0009118848437405513,0.00027814166910039573,-0.00018799290479814098,0.469444751575809,5
development 2015-2019,XGBoost,survey plus text given firm,size,small,70522,0.404463994150785,0.4058039794512727,0.0013399853004877893,-0.0006240993517653837,0.003407382298354078,0.0011257948466464572,0.31491596488937496,5
development 2015-2019,XGBoost,survey plus text given firm,size,medium,75854,0.3768917250092983,0.37843040936921024,0.0015386843599118905,-0.0004072129476428432,0.004593034611814706,0.0013904842811407422,0.3475878740165685,5
development 2015-2019,XGBoost,survey plus text given firm,size,large,74428,0.3565980184754979,0.3572782554968321,0.0006802370213342401,4.0390885887427195e-05,0.0016395029714665887,0.0005419914977395139,0.21059200435310757,5
development 2015-2019,XGBoost,survey given firm,leverage,low,74684,0.39018339005857355,0.3919959518028676,0.0018125617442940611,-0.00024204603945121583,0.004251991772192043,0.0015104100737582421,0.2586844796680433,5
development 2015-2019,XGBoost,survey given firm,leverage,mid,74280,0.36866226046180134,0.3707468928369595,0.002084632375158213,-3.575147913376098e-05,0.004047509254924975,0.0015519837077566092,0.1825035305403596,5
development 2015-2019,XGBoost,survey given firm,leverage,high,71840,0.3788389915372453,0.38040423851155086,0.0015652469743056008,0.0002860575454346481,0.00277145381145405,0.0011735775685187634,0.12155912526949711,5
development 2015-2019,XGBoost,text given firm and survey,leverage,low,74684,0.3919959518028676,0.3913941260877941,-0.0006018257150735007,-0.001373081133414833,0.0002944860433510277,-0.0003811387702082135,0.36097721358825047,5
development 2015-2019,XGBoost,text given firm and survey,leverage,mid,74280,0.3707468928369595,0.36995741721932424,-0.0007894756176353157,-0.0017329772977736635,0.00039658697714362035,-0.00048599284794656114,0.3598856529617634,5
development 2015-2019,XGBoost,text given firm and survey,leverage,high,71840,0.38040423851155086,0.3799239165116342,-0.00048032199991671076,-0.001243237465434699,0.00039160998111414935,-0.0002924180467943151,0.46108911906879263,5
development 2015-2019,XGBoost,survey plus text given firm,leverage,low,74684,0.39018339005857355,0.3913941260877941,0.0012107360292205605,-0.0006851302432532291,0.0038940137200708658,0.0011292713035500285,0.38515274625456153,5
development 2015-2019,XGBoost,survey plus text given firm,leverage,mid,74280,0.36866226046180134,0.36995741721932424,0.0012951567575228973,-0.00019429204794302324,0.003490266832219646,0.0010659908598100484,0.290896874357638,5
development 2015-2019,XGBoost,survey plus text given firm,leverage,high,71840,0.3788389915372453,0.3799239165116342,0.00108492497438889,0.00022718470113530786,0.00221773574108447,0.0008811595217244481,0.1413785146322547,5
development 2015-2019,XGBoost,survey given firm,age,young,70348,0.4063603409203976,0.40834967815734186,0.0019893372369442774,0.0002724279926551998,0.0036947294994375546,0.0016242481343928757,0.13094614311736985,5
development 2015-2019,XGBoost,survey given firm,age,middle,64797,0.38451982179999566,0.38611216020704564,0.0015923384070499758,-0.00012109555599315591,0.0033669851933451067,0.001241088532719268,0.22592824199626638,5
development 2015-2019,XGBoost,survey given firm,age,mature,68313,0.35234706707001295,0.35411202577496087,0.001764958704947972,-0.0002113004409773911,0.0039821362738412525,0.0013162473921698897,0.25680575436268094,5
development 2015-2019,XGBoost,text given firm and survey,age,young,70348,0.40834967815734186,0.4077096311632547,-0.0006400469940871512,-0.001407442079840504,0.00034027377289275185,-0.00041907070842327096,0.3953465248540846,5
development 2015-2019,XGBoost,text given firm and survey,age,middle,64797,0.38611216020704564,0.3854557458915493,-0.0006564143154963453,-0.0013856885062231705,0.00025047564169777825,-0.00042807249997675443,0.31012839735159187,5
development 2015-2019,XGBoost,text given firm and survey,age,mature,68313,0.35411202577496087,0.35351012386564246,-0.0006019019093184141,-0.0014530705127207,0.0004297107244224385,-0.00033743857694561185,0.42964452486496973,5
development 2015-2019,XGBoost,survey plus text given firm,age,young,70348,0.4063603409203976,0.4077096311632547,0.0013492902428571263,2.8291429688354075e-05,0.002885292308568488,0.0012051774259696044,0.17725508236600637,5
development 2015-2019,XGBoost,survey plus text given firm,age,middle,64797,0.38451982179999566,0.3854557458915493,0.0009359240915536304,-0.00044426292491062114,0.0030372562060201336,0.0008130160327425138,0.395913855178343,5
development 2015-2019,XGBoost,survey plus text given firm,age,mature,68313,0.35234706707001295,0.35351012386564246,0.0011630567956295579,-0.00043725365220659285,0.003626193998651328,0.0009788088152242777,0.3785397218438155,5
held-out 2020-2022,Lasso,survey given firm,size,small,171333,0.38605702606429904,0.38712871839892044,0.0010716923346213991,0.00028759181662030286,0.0019715072718631266,0.0007660011559505369,0.1971929629806608,3
held-out 2020-2022,Lasso,survey given firm,size,medium,246949,0.3681098107753747,0.3693615775956523,0.001251766820277611,0.00016543612424330112,0.002285295340704707,0.0009013222667648303,0.18666666154248507,3
held-out 2020-2022,Lasso,survey given firm,size,large,211946,0.3623184877160802,0.3648894055754728,0.002570917859392563,0.0006526701433064441,0.00359800508245417,0.0018005371215169123,0.11685485511852406,3
held-out 2020-2022,Lasso,text given firm and survey,size,small,171333,0.38712871839892044,0.3871332247364415,4.506337521081871e-06,2.890570054814301e-06,6.3776718728369985e-06,3.3556792661075904e-06,0.059509215737629274,3
held-out 2020-2022,Lasso,text given firm and survey,size,medium,246949,0.3693615775956523,0.36936421610565556,2.6385100032610964e-06,9.874995035574763e-07,4.558433517931615e-06,1.9216620935849734e-06,0.13442175975753604,3
held-out 2020-2022,Lasso,text given firm and survey,size,large,211946,0.3648894055754728,0.3648952679229363,5.862347463525541e-06,2.011453501815641e-06,9.443711812107125e-06,4.154217524256146e-06,0.12231865106638697,3
held-out 2020-2022,Lasso,survey plus text given firm,size,small,171333,0.38605702606429904,0.3871332247364415,0.001076198672142481,0.00029048238667511717,0.0019778849437359636,0.0007693568352166446,0.1965537059335032,3
held-out 2020-2022,Lasso,survey plus text given firm,size,medium,246949,0.3681098107753747,0.36936421610565556,0.0012544053302808722,0.0001664236237468586,0.002289853774222639,0.0009032439288584152,0.18654877226247216,3
held-out 2020-2022,Lasso,survey plus text given firm,size,large,211946,0.3623184877160802,0.3648952679229363,0.0025767802068560886,0.0006546815968082598,0.003607448794266277,0.0018046913390411684,0.11683055007885694,3
held-out 2020-2022,Lasso,survey given firm,leverage,low,227975,0.3895289989998811,0.39117275062858675,0.0016437516287056697,0.0003926175321602998,0.0026149469292415795,0.00124567472380966,0.1348237472137135,3
held-out 2020-2022,Lasso,survey given firm,leverage,mid,205027,0.3562914426937755,0.3579807390969795,0.0016892964032040325,0.0004327456867164736,0.0026998797795013685,0.0011588786923238843,0.13605528091386407,3
held-out 2020-2022,Lasso,survey given firm,leverage,high,197226,0.36449825218310794,0.3660684601362071,0.0015702079530991453,0.00023535553849929336,0.002531718136192296,0.0010776381173445437,0.16397711152442124,3
held-out 2020-2022,Lasso,text given firm and survey,leverage,low,227975,0.39117275062858675,0.39117945223422507,6.701605638315122e-06,2.526585741513543e-06,1.017754265630888e-05,5.1184177875338826e-06,0.10070639771706741,3
held-out 2020-2022,Lasso,text given firm and survey,leverage,mid,205027,0.3579807390969795,0.35798327243951944,2.533342539912109e-06,7.96778057421399e-07,4.7625856707256276e-06,1.7534886065491323e-06,0.18303382958620282,3
held-out 2020-2022,Lasso,text given firm and survey,leverage,high,197226,0.3660684601362071,0.3660713600574168,2.8999212097202687e-06,1.9562183915522446e-06,4.523619395235823e-06,2.076121241792565e-06,0.08737914768049325,3
held-out 2020-2022,Lasso,survey plus text given firm,leverage,low,227975,0.3895289989998811,0.39117945223422507,0.0016504532343439848,0.00039514411790181336,0.0026251244718978883,0.0012507931415971939,0.13467925606195594,3
held-out 2020-2022,Lasso,survey plus text given firm,leverage,mid,205027,0.3562914426937755,0.35798327243951944,0.0016918297457439446,0.000433542464773895,0.002704642365172094,0.0011606321809304336,0.1360995024714842,3
held-out 2020-2022,Lasso,survey plus text given firm,leverage,high,197226,0.36449825218310794,0.3660713600574168,0.0015731078743088656,0.0002373117568908456,0.0025362417555875316,0.001079714238586336,0.16376688524539723,3
held-out 2020-2022,Lasso,survey given firm,age,young,197063,0.3994617933818565,0.40007071880054207,0.0006089254186855686,-0.0005471612448402219,0.00150292107413863,0.0004188630308846087,0.47146722180852446,3
held-out 2020-2022,Lasso,survey given firm,age,middle,179203,0.37636908487137105,0.37803026741060447,0.001661182539233419,0.00048455620653536924,0.00271032963137946,0.0012039508297496304,0.13552184037562337,3
held-out 2020-2022,Lasso,survey given firm,age,mature,211821,0.34467870107398835,0.3472221481158403,0.002543447041851943,0.0009749374365450314,0.0036840938063988915,0.001727240994120854,0.09172072672854652,3
held-out 2020-2022,Lasso,text given firm and survey,age,young,197063,0.40007071880054207,0.4000728384097835,2.1196092414577095e-06,-9.768694932410504e-07,4.855233494305278e-06,1.5149542650750167e-06,0.3809139582629578,3
held-out 2020-2022,Lasso,text given firm and survey,age,middle,179203,0.37803026741060447,0.3780350985597216,4.831149117145994e-06,3.274987335710744e-06,6.52891574370873e-06,3.5867548100843097e-06,0.04183131857939971,3
held-out 2020-2022,Lasso,text given firm and survey,age,mature,211821,0.3472221481158403,0.3472279059362147,5.757820374430178e-06,2.7817909421523623e-06,8.948516282747399e-06,3.947802599388605e-06,0.09066550094245085,3
held-out 2020-2022,Lasso,survey plus text given firm,age,young,197063,0.3994617933818565,0.4000728384097835,0.0006110450279270263,-0.0005481381143334629,0.0015077763076329354,0.00042037798514968366,0.47117254512645235,3
held-out 2020-2022,Lasso,survey plus text given firm,age,middle,179203,0.37636908487137105,0.3780350985597216,0.001666013688350565,0.00048783119387108,0.0027168585471231688,0.0012075375845597147,0.13520244105553544,3
held-out 2020-2022,Lasso,survey plus text given firm,age,mature,211821,0.34467870107398835,0.3472279059362147,0.002549204862226373,0.0009777192274871838,0.003693042322681639,0.0017311887967202428,0.09170160493662122,3
held-out 2020-2022,XGBoost,survey given firm,size,small,171333,0.38687545145114915,0.3853060790419778,-0.0015693724091713213,-0.0026832659276050386,-0.0008340881374129805,-0.0012883947033689004,0.08503550397887939,3
held-out 2020-2022,XGBoost,survey given firm,size,medium,246949,0.3686595598700495,0.36721606913260857,-0.0014434907374408779,-0.0026342370261320802,-0.0006685993028730519,-0.0010916544179272215,0.126060651283764,3
held-out 2020-2022,XGBoost,survey given firm,size,large,211946,0.3571241601561062,0.35657133586462686,-0.000552824291479348,-0.0017528381423945194,-2.742203796335385e-05,-0.00043671674176826706,0.3849793630309021,3
held-out 2020-2022,XGBoost,text given firm and survey,size,small,171333,0.3853060790419778,0.38513633535449726,-0.00016974368748057245,-0.0002863506055071907,6.432466301092843e-05,-0.00011457413168694953,0.30186117840737287,3
held-out 2020-2022,XGBoost,text given firm and survey,size,medium,246949,0.36721606913260857,0.36707763460238857,-0.00013843453021999963,-0.00024233081663543876,-7.26369812247829e-05,-9.838974173755577e-05,0.13480023966465093,3
held-out 2020-2022,XGBoost,text given firm and survey,size,large,211946,0.35657133586462686,0.3566319547103044,6.061884567754028e-05,-0.00019137181158795924,0.0002845698365913085,5.285026482998987e-05,0.6488939210136245,3
held-out 2020-2022,XGBoost,survey plus text given firm,size,small,171333,0.38687545145114915,0.38513633535449726,-0.0017391160966518937,-0.00261894126459411,-0.0011204387429201712,-0.00140296883505585,0.04849701004194768,3
held-out 2020-2022,XGBoost,survey plus text given firm,size,medium,246949,0.3686595598700495,0.36707763460238857,-0.0015819252676608775,-0.002706874007356863,-0.0007548382271094223,-0.0011900441596647774,0.10403266538313188,3
held-out 2020-2022,XGBoost,survey plus text given firm,size,large,211946,0.3571241601561062,0.3566319547103044,-0.0004922054458018077,-0.0014682683058032109,0.00010775003597107702,-0.00038386647693827735,0.36755752730539687,3
held-out 2020-2022,XGBoost,survey given firm,leverage,low,227975,0.38750096042494575,0.38655858897228434,-0.0009423714526614613,-0.002227123599875702,-0.0003714835372076175,-0.0007701925927959558,0.24239859285700044,3
held-out 2020-2022,XGBoost,survey given firm,leverage,mid,205027,0.3561214619186687,0.3546101990230845,-0.0015112628955842866,-0.0027720821633601123,-0.0006983458869005976,-0.0011207831613985048,0.11854559253453352,3
held-out 2020-2022,XGBoost,survey given firm,leverage,high,197226,0.36310763143658165,0.3619394274239057,-0.0011682040126759774,-0.0020935413284041693,-0.00046213168866887644,-0.000891778768574839,0.11378983922229088,3
held-out 2020-2022,XGBoost,text given firm and survey,leverage,low,227975,0.38655858897228434,0.38669337359857914,0.0001347846262947927,-0.00010319207022546628,0.0004322132655688593,0.00011441088243865283,0.43828713008645587,3
held-out 2020-2022,XGBoost,text given firm and survey,leverage,mid,205027,0.3546101990230845,0.35456856003190257,-4.163899118186931e-05,-0.00016608401460932454,0.00022788722541527973,-1.895870889214753e-05,0.8508648240688027,3
held-out 2020-2022,XGBoost,text given firm and survey,leverage,high,197226,0.3619394274239057,0.3615466052231831,-0.0003928222007226201,-0.0005564234503255272,-0.00021865569211371172,-0.00029156210844939984,0.05077868177093253,3
held-out 2020-2022,XGBoost,survey plus text given firm,leverage,low,227975,0.38750096042494575,0.38669337359857914,-0.0008075868263666686,-0.0017949103343068429,-0.00028383962320888134,-0.0006557817103573031,0.2130116937482111,3
held-out 2020-2022,XGBoost,survey plus text given firm,leverage,mid,205027,0.3561214619186687,0.35456856003190257,-0.001552901886766156,-0.0025441949379448325,-0.0008644299015099222,-0.0011397418702906521,0.0780234931280636,3
held-out 2020-2022,XGBoost,survey plus text given firm,leverage,high,197226,0.36310763143658165,0.3615466052231831,-0.0015610262133985975,-0.0026499647787296965,-0.0006807873807825882,-0.0011833408770242388,0.0960290301789965,3
held-out 2020-2022,XGBoost,survey given firm,age,young,197063,0.3968098042231638,0.3957767580805569,-0.0010330461426068527,-0.0016134159342749976,-0.000603222278788007,-0.0008513819639785866,0.0630302661833155,3
held-out 2020-2022,XGBoost,survey given firm,age,middle,179203,0.375266409324734,0.3741428426310645,-0.0011235666936694755,-0.0023602856211521472,-0.0004067857843834677,-0.0008935608588616668,0.17698247985082657,3
held-out 2020-2022,XGBoost,survey given firm,age,mature,211821,0.34441633035638114,0.3430585525118235,-0.001357777844557706,-0.0029476068611056228,-0.0005005163088957487,-0.000968692735042041,0.2045580184205702,3
held-out 2020-2022,XGBoost,text given firm and survey,age,young,197063,0.3957767580805569,0.3955850720517819,-0.00019168602877500662,-0.00030710790131083243,-6.231485372559797e-05,-0.00014347823056650266,0.1263382161293422,3
held-out 2020-2022,XGBoost,text given firm and survey,age,middle,179203,0.3741428426310645,0.3740295432747753,-0.00011329935628923149,-0.00021968343814782187,1.5497894707061644e-05,-7.893726637284143e-05,0.26116810124522916,3
held-out 2020-2022,XGBoost,text given firm and survey,age,mature,211821,0.3430585525118235,0.3431117190012136,5.316648939013291e-05,-0.0001455147278319191,0.00029584416752609366,4.322007977788808e-05,0.6690432849870795,3
held-out 2020-2022,XGBoost,survey plus text given firm,age,young,197063,0.3968098042231638,0.3955850720517819,-0.0012247321713818593,-0.0016757307880005956,-0.000776004249527007,-0.0009948601945450892,0.038267718511230175,3
held-out 2020-2022,XGBoost,survey plus text given firm,age,middle,179203,0.375266409324734,0.3740295432747753,-0.001236866049958707,-0.0023447877264450856,-0.0005173234202301424,-0.0009724981252345082,0.13462517599930585,3
held-out 2020-2022,XGBoost,survey plus text given firm,age,mature,211821,0.34441633035638114,0.3431117190012136,-0.001304611355167573,-0.002651762693579529,-0.0004575641295085364,-0.0009254726552641529,0.1763197519952508,3
